open;close;high;low;ask;bid;volume
1.7101;1.7106;1.715;1.7036;1.7093;1.709;13722
1.709;1.7005;1.7185;1.6942;1.6998;1.6995;12136
1.6995;1.7027;1.7093;1.6935;1.7028;1.7025;13764
1.7025;1.6992;1.7126;1.696;1.7003;1.7;15270
1.7;1.6864;1.7011;1.6813;1.6836;1.6833;12972
1.6833;1.6826;1.6894;1.6796;1.6828;1.6825;12924
1.6825;1.7006;1.7115;1.6765;1.7;1.6997;15392
1.6997;1.7132;1.7367;1.6969;1.7138;1.7135;16317
1.7135;1.7101;1.7185;1.6948;1.7003;1.7;14685
1.7;1.6943;1.704;1.6866;1.6928;1.6925;11389
1.6925;1.7072;1.7089;1.6862;1.7086;1.7083;15975
1.7083;1.7058;1.71;1.6974;1.7076;1.7073;14931
1.7073;1.7105;1.7128;1.6958;1.7118;1.7115;15658
1.7115;1.7027;1.7123;1.6948;1.7026;1.7023;15287
1.7023;1.6997;1.707;1.6957;1.6988;1.6985;13195
1.6985;1.7087;1.712;1.6905;1.7093;1.709;17132
1.709;1.6947;1.71;1.6927;1.6973;1.697;13245
1.697;1.6967;1.6995;1.6866;1.6966;1.6963;12786
1.6963;1.6876;1.6979;1.6859;1.6853;1.685;13168
1.685;1.6655;1.6889;1.662;1.6658;1.6655;12591
1.6655;1.6763;1.6795;1.662;1.6748;1.6745;12209
1.6745;1.6748;1.6793;1.6676;1.6738;1.6735;12103
1.6735;1.6754;1.6824;1.6725;1.6788;1.6785;11885
1.6785;1.6755;1.6852;1.6714;1.6763;1.676;11848
1.676;1.6615;1.6789;1.66;1.663;1.6627;12378
1.6627;1.6578;1.6653;1.6524;1.6578;1.6575;11858
1.6575;1.6593;1.663;1.6505;1.6596;1.6593;10803
1.6593;1.6605;1.6662;1.6497;1.6618;1.6615;12320
1.6615;1.6603;1.6659;1.6544;1.6578;1.6575;10019
1.6575;1.6632;1.6675;1.6558;1.6633;1.663;10041
1.663;1.6614;1.6653;1.6555;1.6583;1.658;9712
1.658;1.6615;1.6635;1.6541;1.6603;1.66;9865
1.66;1.6592;1.6651;1.6514;1.66;1.6597;10310
1.6597;1.663;1.671;1.6589;1.6636;1.6633;10474
1.6633;1.675;1.6797;1.663;1.6762;1.6759;9046
1.6759;1.6761;1.6806;1.672;1.6775;1.6772;9569
1.6772;1.6678;1.6775;1.6663;1.6673;1.667;10418
1.667;1.6649;1.6725;1.6627;1.6618;1.6615;8925
1.6615;1.6563;1.665;1.6502;1.6564;1.6561;8317
1.6561;1.656;1.6585;1.644;1.6558;1.6555;10228
1.6555;1.661;1.6628;1.6505;1.6609;1.6606;11849
1.6606;1.66;1.6655;1.657;1.6603;1.66;11718
1.66;1.66;1.6626;1.6535;1.6593;1.659;10271
1.659;1.6513;1.6622;1.6496;1.654;1.6537;11084
1.6537;1.6479;1.6552;1.6424;1.6486;1.6483;12304
1.6483;1.6532;1.6565;1.6459;1.6531;1.6528;12937
1.6528;1.6679;1.6693;1.6494;1.668;1.6677;11753
1.6677;1.6677;1.6735;1.6597;1.6686;1.6683;12278
1.6683;1.6662;1.6701;1.6591;1.6612;1.6609;9976
1.6609;1.6485;1.664;1.6478;1.6513;1.651;12374
1.651;1.658;1.6613;1.6463;1.6581;1.6578;13263
1.6578;1.6564;1.6609;1.653;1.6568;1.6565;11200
1.6565;1.6733;1.6744;1.6545;1.6733;1.673;14678
1.673;1.6918;1.6923;1.6659;1.6872;1.6869;15179
1.6869;1.6914;1.695;1.6801;1.6912;1.6909;13073
1.6909;1.6832;1.6926;1.6814;1.6689;1.6686;12867
1.6686;1.6595;1.672;1.6539;1.66;1.6597;5385
1.6597;1.6547;1.6599;1.6529;1.6542;1.6539;5333
1.6539;1.6537;1.6657;1.648;1.6538;1.6535;5112
1.6535;1.6502;1.6584;1.6464;1.65;1.6497;5578
1.6497;1.6405;1.6525;1.6357;1.6401;1.6398;5890
1.6398;1.6312;1.6453;1.6292;1.6308;1.6305;4910
1.6305;1.6349;1.6349;1.6233;1.6347;1.6344;5622
1.6344;1.6499;1.6595;1.6325;1.6504;1.6501;6371
1.6501;1.6531;1.6591;1.6445;1.6537;1.6534;5369
1.6534;1.6502;1.6646;1.6485;1.6494;1.6491;6982
1.6491;1.6522;1.6567;1.6489;1.6521;1.6518;4737
1.6518;1.6553;1.6626;1.648;1.6558;1.6555;5117
1.6555;1.6472;1.6565;1.6447;1.6473;1.647;5094
1.647;1.6524;1.6558;1.6419;1.6526;1.6523;5173
1.6523;1.6565;1.6575;1.6496;1.6554;1.6551;4718
1.6551;1.6585;1.6613;1.6544;1.6595;1.6592;3465
1.6592;1.6597;1.6628;1.6567;1.6597;1.6594;4646
1.6594;1.6479;1.6601;1.644;1.6479;1.6476;5279
1.6476;1.6487;1.6515;1.6445;1.6486;1.6483;5500
1.6483;1.645;1.6492;1.6419;1.6472;1.6469;5147
1.6469;1.6425;1.6477;1.6377;1.6426;1.6423;4997
1.6423;1.6404;1.6481;1.6385;1.6408;1.6405;4939
1.6405;1.6362;1.6405;1.633;1.6367;1.6364;4990
1.6364;1.6437;1.6458;1.6298;1.6445;1.6442;5889
1.6442;1.6331;1.6458;1.6315;1.633;1.6327;4899
1.6327;1.639;1.6407;1.6285;1.6392;1.6389;5029
1.6389;1.6376;1.6413;1.6335;1.6375;1.6372;5293
1.6372;1.6269;1.6384;1.6244;1.6257;1.6254;5166
1.6254;1.6236;1.6282;1.6188;1.6236;1.6233;5133
